267050507	2016-10-11
267075520	2016-10-11
267107410	2016-10-12
267141392	2016-10-13
267247247	2016-10-15
267630717	2016-10-26
267870316	2016-10-29
267870316	2016-11-02
268012757	2016-11-06
268028340	2016-11-07
268052227	2016-11-07
268069102	2016-11-08
268133979	2016-11-10
268356264	2016-11-16
268382686	2016-11-17
268587591	2016-11-24
268711353	2016-11-28
268711559	2016-11-28
268768727	2016-11-30
268831541	2016-12-02
268911046	2016-12-05
268935234	2016-12-05
268966842	2016-12-06
269003631	2016-12-07
269095668	2016-12-10
269184714	2016-12-13
269220149	2016-12-14
269424923	2016-12-22
269617764	2016-12-28
269795928	2017-01-07
269847456	2017-01-09
269867395	2017-01-10
269935722	2016-12-31
269936444	2017-01-13
270059100	2017-01-19
270632399	2017-02-15
270694755	2017-02-17
270702037	2017-02-17
270725930	2017-02-18
270736242	2017-02-18
270758775	2017-02-19
270789137	2017-02-20
270811291	2017-02-20
270821034	2017-02-21
270823557	2017-02-21
270828378	2017-02-21
270848127	2017-02-22
271133027	2017-03-02
271287033	2017-03-06
271327087	2017-03-07
271371310	2017-03-08
272534767	2017-04-08
272569923	2017-04-09
272621135	2017-04-10
272740047	2017-04-13
272941716	2017-04-17
273015092	2017-04-19
273094305	2017-04-21
273125313	2017-04-22
273174559	2017-04-23
273229591	2017-04-24
273312791	2017-04-26
273416821	2017-04-29
273478102	2017-04-30
273496773	2017-05-01
273553745	2017-05-02
273939997	2017-05-10
274004539	2017-05-11
274110673	2017-05-14
274166011	2017-05-15
274242256	2017-05-16
274277570	2017-05-17
274298605	2017-05-17
274434350	2017-05-20
274457464	2017-05-21
274464134	2017-05-21
274561292	2017-05-23
274942491	2017-05-31
275595272	2017-06-14
275770193	2017-06-18
275802532	2017-06-19
276480503	2017-07-04
276538500	2017-07-05
276538750	2017-06-23
276676004	2017-07-08
276800349	2017-07-10
277308638	2017-07-22
277349267	2017-07-23
277377511	2017-07-19
277384477	2017-07-24
277470701	2017-07-26
277471011	2017-07-25
277545251	2017-07-27
277572499	2017-07-28
277572516	2017-07-28
277600566	2017-07-29
277670217	2017-07-30
278653991	2017-08-23
278709117	2017-08-24
278709135	2017-08-16
278774594	2017-08-26
278903752	2017-08-29
279069338	2017-09-02
279358613	2017-09-09
279523077	2017-09-13
279523512	2017-09-13
279524366	2017-09-13
279853398	2017-09-20
279898890	2017-09-21
279939605	2017-09-22
280011442	2017-09-24
280048701	2017-09-25
280115299	2017-09-27
280220836	2017-09-30
280297499	2017-10-03
280347666	2017-09-30
280507367	2017-10-10
280513347	2017-10-10
280559186	2017-10-11
280597750	2017-10-12
280677653	2017-10-15
280692234	2017-10-15
280749937	2017-10-17
280794998	2017-10-18
281021188	2017-10-20
281027269	2017-10-24
281201496	2017-10-28
281208708	2017-10-29
281215155	2017-10-29
281300621	2017-10-31
281446362	2017-11-04
281474138	2017-11-05
281569196	2017-11-07
281785813	2017-11-13
282039179	2017-11-21
282425347	2017-12-03
282425517	2017-12-03
282426213	2017-12-03
282509901	2017-12-05
282736038	2017-12-12
282934383	2017-12-19
283073886	2017-12-23
283073886	2017-12-24
283076526	2017-11-04
283282811	2017-12-31
283283090	2017-12-31
283283534	2017-12-31
283368758	2018-01-03
283532236	2018-01-10
283532775	2018-01-10
283722980	2018-01-17
284038757	2018-01-30
284888608	2018-03-06
285279450	2018-03-17
285513483	2018-03-23
285532074	2018-03-24
285849044	2018-03-30
285881910	2018-03-31
286296135	2018-03-24
286384433	2018-04-11
286613393	2018-04-16
286648776	2018-04-17
286711264	2018-04-18
286713862	2018-04-18
286771482	2018-04-19
286890240	2018-04-22
287551873	2018-05-07
288037749	2018-05-19
288120955	2018-05-21
288287272	2018-05-25
288527209	2018-05-30
288632455	2018-06-01
289270838	2018-06-15
290812816	2018-07-22
291336695	2018-08-04
291610459	2018-08-10
292039058	2018-08-21
292657882	2018-09-05
292707592	2018-09-06
292785203	2018-09-08
292807610	2018-09-09
292963411	2018-09-12
293164838	2018-09-17
293422407	2018-09-24
293428788	2018-09-24
293472852	2018-09-25
293514039	2018-09-26
293628379	2018-09-29
293828394	2018-10-03
293828394	2018-10-04
294439647	2018-10-19
294469365	2018-10-20
294762332	2018-10-27
294803870	2018-10-28
295388783	2018-11-11
295437699	2018-11-12
295560320	2018-11-15
295611576	2018-11-17
296240319	2018-12-03
297398616	2019-01-09
297431855	2019-01-10
298468869	2019-02-15
299022028	2019-02-22
299022028	2019-02-23
299022682	2019-03-03
299086663	2019-03-04
299110817	2019-03-05
299161379	2019-03-06
299356246	2019-03-10
299528304	2019-03-14
299758994	2019-03-18
299992768	2019-03-23
300023654	2019-03-24
300028349	2019-03-24
300095100	2019-03-25
300205500	2019-03-27
300227870	2019-03-28
300242173	2019-03-28
300324377	2019-03-30
300368594	2019-03-31
300376356	2019-03-31
300442292	2019-04-01
